Position,Title,Author,Description,Article link,PDF Link,Research Methods,Focus Areas,Topics or Themes,Geographical Focus,Temporal Focus
103,MapperGPT: Large Language Models for Linking and Mapping Entities,"N Matentzoglu, JH Caufield, HB Hegde… - arXiv preprint arXiv …, 2023 - arxiv.org","… intensive manual mapping refinement through a human curator. Large Language Models
(… Here we present MapperGPT, an approach that uses LLMs to review and refine mapping …",https://arxiv.org/abs/2310.03666,https://arxiv.org/pdf/2310.03666,,,,,Current Issues
104,Mapping with chatgpt,"R Tao, J Xu - ISPRS International Journal of Geo-Information, 2023 - mdpi.com","… The emergence and rapid advancement of large language models (LLMs), represented
by OpenAI’s Generative Pre-trained Transformer (GPT), has brought up new opportunities …",https://www.mdpi.com/2220-9964/12/7/284,https://www.mdpi.com/2220-9964/12/7/284,,,,,Current Issues
105,Language-model optimization by mapping of corpora,"D Klakow - Proceedings of the 1998 IEEE International …, 1998 - ieeexplore.ieee.org","… - grouping frequent word sequences to phrases can improve language models. More … to
optimize the perplexity of n-gram language models. In tests on two large corpora (WSJ and BNA) …",https://ieeexplore.ieee.org/abstract/document/675361/,,,,,,
106,SPOT-Contact-LM: improving single-sequence-based prediction of protein contact map using a transformer language model,"J Singh, T Litfin, J Singh, K Paliwal, Y Zhou - Bioinformatics, 2022 - academic.oup.com","… As a result, many methods have been developed for protein contact map … map predictor
utilizing the output of a pre-trained language model ESM-1b as an input along with a large …",https://academic.oup.com/bioinformatics/article-abstract/38/7/1888/6519147,https://academic.oup.com/bioinformatics/article/38/7/1888/6519147,,,,,
107,Mining the web to create a language model for mapping between English names and phrases and Japanese,"G Grefenstette, Y Qu, DA Evans - IEEE/WIC/ACM International …, 2004 - ieeexplore.ieee.org","… largest, exploitable collection of language use. If we can mine the Web to build abstract models
of language use, these models … using the implicit intelligence of language use to solve an …",https://ieeexplore.ieee.org/abstract/document/1410791/,,,,,,
108,KenLM: Faster and smaller language model queries,"K Heafield - Proceedings of the sixth workshop on statistical …, 2011 - aclanthology.org","… of language model storage is therefore sparse mapping: … source toolkit for handling large
scale language models. In … Tightly packed tries: How to fit large models into memory, and make …",https://aclanthology.org/W11-2123.pdf,https://aclanthology.org/W11-2123.pdf,,,,,
109,Least-to-most prompting enables complex reasoning in large language models,"D Zhou, N Schärli, L Hou, J Wei, N Scales… - arXiv preprint arXiv …, 2022 - arxiv.org","… mapping prompt containing 14 examples to demonstrate how to map natural language …
The demonstration examples in the command-mapping are supposed to be able to fully …",https://arxiv.org/abs/2205.10625,https://arxiv.org/pdf/2205.10625.pdf?trk=public_post_comment-text,,,,,
110,"Topological Data Mapping of Online Hate Speech, Misinformation, and General Mental Health: A Large Language Model Based Study","A Alexander, H Wang - arXiv preprint arXiv:2309.13098, 2023 - arxiv.org","… Recent progresses in machine learning and large language models such as ChatGPT have
… to the embeddings to obtain a visual map connecting online hate speech, misinformation, …",https://arxiv.org/abs/2309.13098,https://arxiv.org/pdf/2309.13098,,,,,
111,Mapping the Latent Spaces of Culture,T Underwood - 2022 - hcommons.org,"… “large language models.”A paper from Stanford emphasizes applications: “foundation …
But to understand the risks language models pose, I think we will need to understand how they …",https://hcommons.org/deposits/item/hc:41973/,https://hcommons.org/deposits/download/hc:41974/CONTENT/mappingthelatentspacesofculture.pdf/,,,,,
112,Mapping ESG trends by distant supervision of neural language models,"N Raman, G Bang, A Nourbakhsh - Machine Learning and Knowledge …, 2020 - mdpi.com","… The preferred solution to this problem was to use word representations from a neural
language model that is pre-trained on a large scale unlabeled text corpus with a general-purpose …",https://www.mdpi.com/2504-4990/2/4/25,https://www.mdpi.com/2504-4990/2/4/25/pdf,,,Solutions and Mitigations,,Current Issues
113,P2V-MAP: Mapping market structures for large retail assortments,"S Gabel, D Guhl, D Klapper - Journal of Marketing Research, 2019 - journals.sagepub.com","… two recent methodological advances in natural language processing and machine learning.
They customize a neural network language model to derive latent product attributes by …",https://journals.sagepub.com/doi/abs/10.1177/0022243719833631,,,,,,
114,Linearly mapping from image to text space,"J Merullo, L Castricato, C Eickhoff, E Pavlick - arXiv preprint arXiv …, 2022 - arxiv.org","… We find that all three encoders perform equally well at transferring visual property information
to the language model (eg, whether an animal is large or small), but that image encoders …",https://arxiv.org/abs/2209.15162,https://arxiv.org/pdf/2209.15162,,,,,
115,Bridging the gap: Mapping layperson narratives to legal issues with language models,"H Westermann, S Meeùs, M Godet, A Troussel, J Tan… - 2023 - ceur-ws.org","… of language models, which have been trained on large … language models and seed questions
can overcome the cold-start problem. This seems to be the case, as the language models …",https://ceur-ws.org/Vol-3441/paper5.pdf,https://ceur-ws.org/Vol-3441/paper5.pdf,,,,,
116,Does GPT-3 Grasp Metaphors? Identifying Metaphor Mappings with Generative Language Models,"L Wachowiak, D Gromann - … of the 61st Annual Meeting of the …, 2023 - aclanthology.org","… We believe future iterations of large language models like GPT-3 will become important …
In the future, we want to experiment with using large language models to generate complete …",https://aclanthology.org/2023.acl-long.58/,https://aclanthology.org/2023.acl-long.58.pdf,Experiments,,,,Future Predictions
117,Chain-of-thought prompting elicits reasoning in large language models,"J Wei, X Wang, D Schuurmans… - Advances in …, 2022 - proceedings.neurips.cc","… the ability of large language models to perform complex … emerge naturally in sufficiently
large language models via a simple … Experiments on three large language models show that …",https://proceedings.neurips.cc/paper_files/paper/2022/hash/9d5609613524ecf4f15af0f7b31abca4-Abstract-Conference.html,https://proceedings.neurips.cc/paper_files/paper/2022/file/9d5609613524ecf4f15af0f7b31abca4-Paper-Conference.pdf,Experiments,,,,
118,Task adaptation using MAP estimation in n-gram language modeling,"H Masataki, Y Sagisaka, K Hisaki… - … on Acoustics, Speech …, 1997 - ieeexplore.ieee.org","… language models have been widely used as effective linguistic constraints to reduce search
efforts [1][2]. However, large … However, fairly large amounts of text data are needed if these …",https://ieeexplore.ieee.org/abstract/document/596042/,,,,,,
119,On structuring probabilistic dependences in stochastic language modelling,"H Ney, U Essen, R Kneser - Computer Speech & Language, 1994 - Elsevier","… by the language model, the perplexity will be inﬁnitely large. This is one of the real challenges
for the language model: … Now we describe a procedure by which such mappings can be …",https://www.sciencedirect.com/science/article/pii/S0885230884710011,,,,,,
120,Improved and scalable online learning of spatial concepts and language models with mapping,"A Taniguchi, Y Hagiwara, T Taniguchi, T Inamura - Autonomous Robots, 2020 - Springer","We propose a novel online learning algorithm, called SpCoSLAM 2.0, for spatial concepts
and lexical acquisition with high accuracy and scalability. Previously, we proposed …",https://link.springer.com/article/10.1007/s10514-020-09905-0,https://link.springer.com/article/10.1007/s10514-020-09905-0,,,,,
121,GamMa: Efficient Fine-Tuning of Pre-Trained Language Models Using Gradient Activation Mapping Masking,"A Gui, J Ye, H Xiao - 2023 International Joint Conference on …, 2023 - ieeexplore.ieee.org","… Since the introduction of Transformer [12], a number of large-scale language models have
… -trained language model consists of L Transformer encoders. The weights of the model can …",https://ieeexplore.ieee.org/abstract/document/10191351/,,,,,,
122,Not The End of Story: An Evaluation of ChatGPT-Driven Vulnerability Description Mappings,"X Liu, Y Tan, Z Xiao, J Zhuge… - Findings of the Association …, 2023 - aclanthology.org","… However, the cost of mapping through manual methods is … language processing (NLP)
technology, large models have … ) is a closed-source large language model (LLM), and it is …",https://aclanthology.org/2023.findings-acl.229/,https://aclanthology.org/2023.findings-acl.229.pdf,,,,,
123,"Using stochastic language models (SLM) to map lexical, syntactic, and phonological information processing in the brain","A Lopopolo, SL Frank, A Van den Bosch, RM Willems - PloS one, 2017 - journals.plos.org","… measures derived from computational language models to detect neural correlates of …
Probabilistic language models have proven to be useful tools for studying how language is …",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0177794,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0177794,,,,,
124,TeaBERT: An Efficient Knowledge Infused Cross-lingual Language Model for Mapping Chinese Medical Entities to the Unified Medical Language System,"L Chen, Y Qi, A Wu, L Deng… - IEEE Journal of …, 2023 - ieeexplore.ieee.org","… models can be applied to map non-English medical entities to the UMLS. In this study, we
compared our TeaBERT language model with the following baseline models. … of large memory …",https://ieeexplore.ieee.org/abstract/document/10250933/,,,,,,
125,Automatic chain of thought prompting in large language models,"Z Zhang, A Zhang, M Li, A Smola - arXiv preprint arXiv:2210.03493, 2022 - arxiv.org","… Large language models (LLMs) can perform complex reasoning by … > mappings. For example,
mistakes in either the <input→rationale> mapping or the <rationale→output> mapping will …",https://arxiv.org/abs/2210.03493,https://arxiv.org/pdf/2210.03493,,,,,
126,BERT-EMD: Many-to-many layer mapping for BERT compression with earth mover's distance,"J Li, X Liu, H Zhao, R Xu, M Yang, Y Jin - arXiv preprint arXiv:2010.06133, 2020 - arxiv.org","… , the pretrained language models (eg, BERT) usually have a large number of parameters, …
the computation overhead and model storage of pre-trained language models without perfor…",https://arxiv.org/abs/2010.06133,https://arxiv.org/pdf/2010.06133,,,,,
127,Latent semantic mapping [information retrieval],"JR Bellegarda - IEEE signal processing magazine, 2005 - ieeexplore.ieee.org","… in other areas of natural language processing, including word clustering, document/topic
clustering, large-vocabulary speech recognition language modeling, automated call routing, …",https://ieeexplore.ieee.org/abstract/document/1511825/,,,,,,
128,Placing flickr photos on a map,"P Serdyukov, V Murdock, R Van Zwol - Proceedings of the 32nd …, 2009 - dl.acm.org","… language model based entirely on the annotations provided by users. We define extensions
to improve over the language model … incorporate GeoNames1, a large external database of …",https://dl.acm.org/doi/abs/10.1145/1571941.1572025,https://www.researchgate.net/profile/Roelof-Zwol/publication/221299053_Placing_Flickr_Photos_on_a_Map/links/0a85e53821a59d2da8000000/Placing-Flickr-Photos-on-a-Map.pdf,,,,,
129,Vision and Language Navigation in the Real World via Online Visual Language Mapping,"C Xu, HT Nguyen, C Amato, LLS Wong - arXiv preprint arXiv:2310.10822, 2023 - arxiv.org","… , to ground the unstructured language instructions, we utilize a large language model (LLM) …
visual-language map using a large visual-language model (VLM). With the latest map and …",https://arxiv.org/abs/2310.10822,https://arxiv.org/pdf/2310.10822,,,,,
130,Exploring the limits of language modeling,"R Jozefowicz, O Vinyals, M Schuster… - arXiv preprint arXiv …, 2016 - arxiv.org","… and working on large data sets and models with clear benchmarks will help advance
Language Modeling. … and we hope it will enable similar gains when used to map onto words. …",https://arxiv.org/abs/1602.02410,https://arxiv.org/pdf/1602.02410.pdf%3C/p%3E%3Cp%3E,,,,,
131,A neural probabilistic language model,"Y Bengio, R Ducharme… - Advances in neural …, 2000 - proceedings.neurips.cc","… language modeling is not new either, eg [8]. In contrast, here we push this idea to a large
scale, and concentrate on learning a statistical model … A mapping C from any element of V to a …",https://proceedings.neurips.cc/paper_files/paper/2000/hash/728f206c2a01bf572b5940d7d9a8fa4c-Abstract.html,https://proceedings.neurips.cc/paper_files/paper/2000/file/728f206c2a01bf572b5940d7d9a8fa4c-Paper.pdf,,,,,
132,A cache-based natural language model for speech recognition,"R Kuhn, R De Mori - IEEE transactions on pattern analysis and …, 1990 - ieeexplore.ieee.org","… Whatever solution we adopt will consist of mapping the set of … Let us denote this many to
one mapping by M. Thus, M(< W¡, … on a large scale, it could lead to pseudosemantic language …",https://ieeexplore.ieee.org/abstract/document/56193/,https://escholarship.mcgill.ca/downloads/nc580n69w,,,Solutions and Mitigations,,
133,Multi-mask label mapping for prompt-based learning,"J Qi, R Zhang, J Kim, J Chen, W Qin… - Proceedings of the AAAI …, 2023 - ojs.aaai.org","… for cloze-type language models to satisfy the conditions of few-shot learning. Further,
because lexical cues are proven to play a significant role in large language models like BERT/…",https://ojs.aaai.org/index.php/AAAI/article/view/26579,https://ojs.aaai.org/index.php/AAAI/article/download/26579/26351,,,,,
134,Palm: Scaling language modeling with pathways,"A Chowdhery, S Narang, J Devlin, M Bosma… - arXiv preprint arXiv …, 2022 - arxiv.org","… Large language models have been shown to achieve remarkable performance across a
variety of natural language … large language models and discuss potential mitigation strategies. …",https://arxiv.org/abs/2204.02311,https://arxiv.org/pdf/2204.02311,,,Solutions and Mitigations,,
135,,"H Sak, M Shannon, K Rao, F Beaufays - Interspeech, 2017",,,,,,,,
136,"Document language models, query models, and risk minimization for information retrieval","J Lafferty, C Zhai - Proceedings of the 24th annual international ACM …, 2001 - dl.acm.org","… As the models are highly lexical, it is unlikely that a sufficiently large collection … for future
work will be to go beyond the use of a single document and query model (as in MAP estimation). …",https://dl.acm.org/doi/abs/10.1145/383952.383970,https://www.academia.edu/download/30739205/10.1.1.69.116.pdf,,,,,Future Predictions
137,Making pre-trained language models better few-shot learners,"T Gao, A Fisch, D Chen - arXiv preprint arXiv:2012.15723, 2020 - arxiv.org","… 5More generally, we can consider a one-to-many mapping M: Y → 2|Y| in which we map …
For automatically template generation, we take the T5-3B13 model, which is the largest publicly …",https://arxiv.org/abs/2012.15723,https://arxiv.org/pdf/2012.15723,,,,,
138,"What do we mean by GenAI? A systematic mapping of the evolution, trends, and techniques involved in Generative AI","F García-Peñalvo, A Vázquez-Ingelmo - 2023 - reunir.unir.net","… Tools like ChatGPT, Dall-E, or Midjourney have democratized access to Large Language
Models, enabling the creation of human-like content. However, the concept 'Generative …",https://reunir.unir.net/handle/123456789/15134,https://reunir.unir.net/bitstream/handle/123456789/15134/ip2023_07_006.pdf?sequence=1&isAllowed=y,,,,,
139,"Machine-learning-based evidence and attribution mapping of 100,000 climate impact studies","M Callaghan, CF Schleussner, S Nath… - Nature climate …, 2021 - nature.com","… language model BERT to identify and classify studies on observed climate impacts, producing
a comprehensive machine-learning-assisted evidence map… , large language models such …",https://www.nature.com/articles/s41558-021-01168-6,https://www.researchsquare.com/article/rs-783398/latest.pdf,,,,,
140,Web mining for innovation ecosystem mapping: a framework and a large-scale pilot study,"J Kinne, J Axenbeck - Scientometrics, 2020 - Springer","… the field of natural language processing (NLP) (eg Mikolov et al. 2011, 2013a; Mikolov et al.
2013b), especially the ones involving artificial neural network language models, resulted an …",https://link.springer.com/article/10.1007/s11192-020-03726-9,https://link.springer.com/article/10.1007/s11192-020-03726-9,,,,,
141,A balanced data approach for evaluating cross-lingual transfer: Mapping the linguistic blood bank,"D Malkin, T Limisiewicz, G Stanovsky - arXiv preprint arXiv:2205.04086, 2022 - arxiv.org","… developers of large-scale multilingual language models in … ) combinations of bilingual
masked language models over our … language l2, based only on language modeling performance. …",https://arxiv.org/abs/2205.04086,https://arxiv.org/pdf/2205.04086,,,,,
142,Language model adaptation with MAP estimation and the perceptron algorithm,"M Bacchiani, B Roark, M Saraclar - Proceedings of HLT-NAACL …, 2004 - aclanthology.org","… language model adaptation approaches: MAP estimation and the perceptron algorithm. Used
in isolation, we show that MAP … Corrective language modeling for large vocabulary ASR …",https://aclanthology.org/N04-4006.pdf,https://aclanthology.org/N04-4006.pdf,,,,,
143,Dataset geography: Mapping language data to language users,"F Faisal, Y Wang, A Anastasopoulos - arXiv preprint arXiv:2112.03497, 2021 - arxiv.org","… Training large language models require huge amount of … trained language model as well
as the fine-tuned models often … other language side, using the respective language model for …",https://arxiv.org/abs/2112.03497,https://arxiv.org/pdf/2112.03497,,,,,
144,Amalgam: Automatic mapping among lexicogrammatical annotation models,"ES Atwell, J Hughes, DC Souter - … Approaches to Language …, 1994 - eprints.whiterose.ac.uk","… training sets into a large unified multicorpus. Our architecture combines standard statistical
language modelling and a rule-base derived from linguists' analyses of tagset-mappings, in a …",https://eprints.whiterose.ac.uk/81160/,https://eprints.whiterose.ac.uk/81160/1/AMALGAM.pdf,,,,,
145,Self-organized language modeling for speech recognition,"F Jelinek - Readings in speech recognition, 1990 - books.google.com","… language modeling for speech recognition, and to suggest some lines of possible solution
related to selforganized statistical information extraction from large … this unique mapping of w …",https://books.google.com/books?hl=en&lr=&id=iDHgboYRzmgC&oi=fnd&pg=PA450&dq=Large+Language+Model+Mapping&ots=jdeRGVPqmO&sig=xliTgM9Sk_3mXtRXEzqJO3YiSq4,https://www.academia.edu/download/30444460/10.1177_1470412911430581.pdf,,,Solutions and Mitigations,,
146,SciBERT: A pretrained language model for scientific text,"I Beltagy, K Lo, A Cohan - arXiv preprint arXiv:1903.10676, 2019 - arxiv.org","… version of SCIBERT analogous to BERT-Large, as well as experiment with different proportions
of papers from each domain. Because these language models are costly to train, we aim …",https://arxiv.org/abs/1903.10676,https://arxiv.org/pdf/1903.10676,Experiments,,,,
147,From captions to visual concepts and back,"H Fang, S Gupta, F Iandola… - Proceedings of the …, 2015 - openaccess.thecvf.com","… , language models, and multimodal similarity models learnt … Image model: We map images
to semantic vectors using the … In fact, we observe the largest improvement for nouns and …",http://openaccess.thecvf.com/content_cvpr_2015/html/Fang_From_Captions_to_2015_CVPR_paper.html,http://openaccess.thecvf.com/content_cvpr_2015/papers/Fang_From_Captions_to_2015_CVPR_paper.pdf,,,,,
148,Language models are unsupervised multitask learners,"A Radford, J Wu, R Child, D Luan… - OpenAI …, 2019 - insightcivic.s3.us-east-1.amazonaws …","… Preliminary experiments confirmed that sufficiently large language models are able to …
While it is a large step from the well-posed setup described above to the messiness of “language …",https://insightcivic.s3.us-east-1.amazonaws.com/language-models.pdf,https://insightcivic.s3.us-east-1.amazonaws.com/language-models.pdf,Experiments,,,,
149,Quasi-compositional mapping from form to meaning: A neural network-based approach to capturing neural responses during human language comprehension,"M Rabovsky, JL McClelland - … Transactions of the …, 2020 - royalsocietypublishing.org","… language models bear long-term promise to capture how … does not fully capture the mapping
from language to meaning, and in … in large-scale machine approaches to natural language …",https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2019.0313,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0313?download=true,,,,,
150,Don't stop pretraining: Adapt language models to domains and tasks,"S Gururangan, A Marasović, S Swayamdipta… - arXiv preprint arXiv …, 2020 - arxiv.org","… We map unlabeled CHEMPROT and 1M BIOMED sentences to a shared vector space …
large pretrained language models to distant domains, and building reusable language models …",https://arxiv.org/abs/2004.10964,https://arxiv.org/pdf/2004.10964.pdf](https://arxiv.org/pdf/2004.10964.pdf),,,,,
151,Rail-kd: Random intermediate layer mapping for knowledge distillation,"MA Haidar, N Anchuri, M Rezagholizadeh… - arXiv preprint arXiv …, 2021 - arxiv.org","… output of teacher and student models) especially over large pre-trained language models. …
efforts required for setting up a proper layer mapping. To address these problems, we propose …",https://arxiv.org/abs/2109.10164,https://arxiv.org/pdf/2109.10164,,,,,
152,Chat2Brain: A Method for Mapping Open-Ended Semantic Queries to Brain Activation Maps,"Y Wei, T Zhang, H Zhang, T Zhong, L Zhao… - arXiv preprint arXiv …, 2023 - arxiv.org","… as semantic redundancy and ambiguity, resulting in an inaccurate mapping to brain images.
On the other hand, large language models (LLMs) like ChatGPT have shown great potential …",https://arxiv.org/abs/2309.05021,https://arxiv.org/pdf/2309.05021,,,,,
153,The importance of query-concept-mapping for automatic video retrieval,"D Wang, X Li, J Li, B Zhang - Proceedings of the 15th ACM international …, 2007 - dl.acm.org","… a large lexicon of 311 learned semantic concept detectors. … based on query language model
gets an MAP of 0.051 (not … within 85% of 0.060, the MAP of the oracle which selects the best …",https://dl.acm.org/doi/abs/10.1145/1291233.1291293,https://www.researchgate.net/profile/Xirong-Li-2/publication/221572213_The_importance_of_query-concept-mapping_for_automatic_video_retrieval/links/0046351dec08db376b000000/The-importance-of-query-concept-mapping-for-automatic-video-retrieval.pdf,,,,,
154,Mapping the design-space of textual variability modeling languages: a refined analysis,"H Eichelberger, K Schmid - International Journal on Software Tools for …, 2015 - Springer","… languages, were introduced. We consider the recent trend in product line engineering towards
textual variability modeling languages as … specialized capabilities for large-scale models. …",https://link.springer.com/article/10.1007/s10009-014-0362-x,,,,,,
155,Map-based transparent persistence for very large models,"A Gómez, M Tisi, G Sunyé, J Cabot - … Conference, FASE 2015, Held as Part …, 2015 - Springer","… We argue that this strategy improves execution of model-driven tools on large models in real…
a map-based persistence model for MDE tools, arguing that persisting model graphs directly …",https://link.springer.com/chapter/10.1007/978-3-662-46675-9_2,https://inria.hal.science/hal-01140776/document,,,,,
156,Unifying visual-semantic embeddings with multimodal neural language models,"R Kiros, R Salakhutdinov, RS Zemel - arXiv preprint arXiv:1411.2539, 2014 - arxiv.org","… Given an image, we first map it into the multimodal space. From this embedding, we define
… We trained a Kneser-Ney trigram model on a large corpus and compute the logprobability of …",https://arxiv.org/abs/1411.2539,https://arxiv.org/pdf/1411.2539,,,,,
157,Building end-to-end dialogue systems using generative hierarchical neural network models,"I Serban, A Sordoni, Y Bengio, A Courville… - Proceedings of the AAAI …, 2016 - ojs.aaai.org","… on models which can be trained efficiently on large datasets … model can be performed as
in standard language modeling: … Finally, our analysis of the model MAP outputs suggests that …",https://ojs.aaai.org/index.php/AAAI/article/view/9883,https://ojs.aaai.org/index.php/AAAI/article/view/9883/9742,,,,,
158,Learning feature mapping using deep neural network bottleneck features for distant large vocabulary speech recognition,"I Himawan, P Motlicek, D Imseng… - … , Speech and Signal …, 2015 - ieeexplore.ieee.org","… The AMI pronunciation dictionary of approximately 23K words is used in the experiments,
and the Viterbi decoding is performed using a 2-gram language model, previously built for …",https://ieeexplore.ieee.org/abstract/document/7178830/,https://infoscience.epfl.ch/record/207946/files/Himawan_ICASSP2015_2015.pdf,Experiments,,,,
159,Large scale classification in deep neural network with label mapping,"Q Zhang, KC Lee, H Bao, Y You, W Li… - 2018 IEEE International …, 2018 - ieeexplore.ieee.org","… large, the classification problem will become infeasible because the required resources for
model … huge number of classes, such as language model of word level, image recognition of …",https://ieeexplore.ieee.org/abstract/document/8637580/,https://arxiv.org/pdf/1806.02507,,,,,
160,"Cortical language localization in left, dominant hemisphere: an electrical stimulation mapping investigation in 117 patients","G Ojemann, J Ojemann, E Lettich, M Berger - Journal of neurosurgery, 1989 - thejns.org","… Prior to language mapping, rolandic cortex was identified by stimulation and the threshold
… to be sampled with language mapping. Language mapping used the largest current that did …",https://thejns.org/view/journals/j-neurosurg/71/3/article-p316.xml,,,,,,Current Issues
161,Cross-lingual phone mapping for large vocabulary speech recognition of under-resourced languages,"V Hai, X Xiao, ES Chng, H Li - IEICE TRANSACTIONS on …, 2014 - search.ieice.org","… a novel acoustic modeling technique of large vocabulary … trained acoustic models of other
languages (called source languages). … We assume that the language model and pronunciation …",https://search.ieice.org/bin/summary.php?id=e97-d_2_285,https://www.jstage.jst.go.jp/article/transinf/E97.D/2/E97.D_285/_pdf,,,,,
162,Mapping Brand Territories Using ChatGPT,"LF Rodriguez-Sarmiento, I Galpin… - … Conference on Applied …, 2024 - Springer","… Traditionally, mapping a brand territory is a largely manual, … a more efficient way of mapping
brand territory. Our approach … customer reviews using this Large Language Model, we show …",https://link.springer.com/chapter/10.1007/978-3-031-46813-1_3,,,,,,
163,Tinybert: Distilling bert for natural language understanding,"X Jiao, Y Yin, L Shang, X Jiang, X Chen, L Li… - arXiv preprint arXiv …, 2019 - arxiv.org","… However, pre-trained language models are usually … 4-layer student models demonstrate that:
1) There is a large perfor… We also investigate the effects of different mapping functions n = g(…",https://arxiv.org/abs/1909.10351,https://arxiv.org/pdf/1909.10351.pdf?trk=public_post_comment-text,,,,,
164,Character-aware neural language models,"Y Kim, Y Jernite, D Sontag, A Rush - … of the AAAI conference on artificial …, 2016 - ojs.aaai.org","… to obtain a feature map fk ∈ Rl−w+1 . Specifically, the i-th element of fk is given by: …
2005)—a common strategy for training language models with very large |V|—instead of the usual …",https://ojs.aaai.org/index.php/AAAI/article/view/10362,https://ojs.aaai.org/index.php/AAAI/article/download/10362/10221,,,,,
165,Mapping rules for building a Tunisian dialect lexicon and generating corpora,"R Boujelbane, ME Khemekhem… - … on natural language …, 2013 - aclanthology.org","… language modeling: studying large amounts of text to learn about patterns of words in a
language… However, a limited vocabulary is a problem if we want to model a language model for a …",https://aclanthology.org/I13-1048.pdf,https://aclanthology.org/I13-1048.pdf,,,,,
166,Learning a bidirectional mapping between human whole-body motion and natural language using deep recurrent neural networks,"M Plappert, C Mandery, T Asfour - Robotics and Autonomous Systems, 2018 - Elsevier","… -language model and language-to-motion model. … large variety of different human whole-body
motions. Conversely, we showed that our model is capable of generating a similarly large …",https://www.sciencedirect.com/science/article/pii/S0921889017306280,https://arxiv.org/pdf/1705.06400,,,,,
167,Mapping languages: The corpus of global language use,"J Dunn - Language Resources and Evaluation, 2020 - Springer","… It also avoids biasing the model toward language-domain pairs with a large number of samples.
For … Supervised text-based geolocation using language models on an adaptive grid. In …",https://link.springer.com/article/10.1007/s10579-020-09489-2,https://arxiv.org/pdf/2004.00798,,,,,
168,EESEN: End-to-end speech recognition using deep RNN models and WFST-based decoding,"Y Miao, M Gowayyed, F Metze - 2015 IEEE workshop on …, 2015 - ieeexplore.ieee.org","… A lexicon WFST encodes the mapping from sequences of … We apply the WSJ standard pruned
trigram language model in … trained models outperform the existing hybrid systems on large…",https://ieeexplore.ieee.org/abstract/document/7404790/,https://arxiv.org/pdf/1507.08240,,,,,
169,Self-organizing map models of language acquisition,"P Li, X Zhao - Frontiers in psychology, 2013 - frontiersin.org","… Language as a hallmark of human behavior thus received in-depth treatment in the original
PDP volumes, and connectionist language models … in large areas of the map, that is, large …",https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00828/full,https://www.frontiersin.org/articles/10.3389/fpsyg.2013.00828/full,,,,,
170,Mapping the origins and expansion of the Indo-European language family,"R Bouckaert, P Lemey, M Dunn, SJ Greenhill… - Science, 2012 - science.org","… for the Anatolian hypothesis under a RRW model. This model allows large variation in rates
of … Further, the geographic centroid of the languages considered here falls within the broader …",https://www.science.org/doi/abs/10.1126/science.1219669,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4112997/,,,,,
171,End-to-end learning of driving models from large-scale video datasets,"H Xu, Y Gao, F Yu, T Darrell - Proceedings of the IEEE …, 2017 - openaccess.thecvf.com","… model is akin to a language model, which scores the likelihood of character or word sequences
given certain corpora; our model … to map from pixels to actuation, [2] proposed mapping …",http://openaccess.thecvf.com/content_cvpr_2017/html/Xu_End-To-End_Learning_of_CVPR_2017_paper.html,https://openaccess.thecvf.com/content_cvpr_2017/papers/Xu_End-To-End_Learning_of_CVPR_2017_paper.pdf,,,,,
172,High-gamma modulation language mapping with stereo-EEG: a novel analytic approach and diagnostic validation,"B Ervin, J Buroker, L Rozhkov, T Holloway… - Clinical …, 2020 - Elsevier","… Time to largest power change reliably localized … of language mapping with SEEG and
subdural grids. In addition, our HGM-model shows consistent localization of Neurosynth language …",https://www.sciencedirect.com/science/article/pii/S1388245720304995,,,,,,
173,Hierarchical probabilistic neural network language model,"F Morin, Y Bengio - International workshop on artificial …, 2005 - proceedings.mlr.press","… large number of models would be required and the whole … class-based statistical language
model by using the following … is a deterministic function c(.) mapping Y to C), so as to write …",http://proceedings.mlr.press/r5/morin05a/morin05a.pdf,http://proceedings.mlr.press/r5/morin05a/morin05a.pdf,,,,,
174,Understanding linguistic evolution by visualizing the emergence of topographic mappings,"H Brighton, S Kirby - Artificial life, 2006 - ieeexplore.ieee.org","… , we can consider it a topographic mapping [21]. Given the language model presented here,
… In other words, given a finite subset of some infinitely large language, the learning algorithm …",https://ieeexplore.ieee.org/abstract/document/6791988/,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=6a54db36afce548b5e4deefb3a4df0428a13a813,,,,,Current Issues
175,Latent semantic mapping: Principles and applications,JR Bellegarda - 2022 - books.google.com,"… language processing, including word clustering, document/topic clustering, large vocabulary
speech recognition language modeling… language modeling, where multispan language mod…",https://books.google.com/books?hl=en&lr=&id=1YByEAAAQBAJ&oi=fnd&pg=PP1&dq=Large+Language+Model+Mapping&ots=3p6U0xbwoU&sig=U_iyGqNdWKvaQ_b53dcJjbbj6Vc,,,,,,
176,,"P Fung, CY Ma, WK Liu - … European Conference on Speech Communication and …, 1999",,,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8a8a103e00ff540018684fd7dc28281d38d819ed,,,,,
