,Choice,Count,Color 1,Color 2,Color 3,Color 4,Color 5,Color 6,Color 7,Color 8,Color 9,Color 10
3,AIAssistedSocialEngineering,10,"AI assisted social engineering (along with phishing attacks) are the first layer of attack through which attackers get into the AI system and its data. By preventing this from happening, most of the follow-up attacks can be prevented. This layer has to be as strong as possible not only for AI-based systems, but for all software systems as well (as experienced in the field).","should be a new, top-level entry or folded into another larger vulnerability as a concept.",Social engineering is now personalized and mass-scale. And Cheap. And hard to detect. ,"Social engineering attacks are already dangerous, and using AI attackers can create far more attacks that are increasingly sophisticated. This failure mode has less to do with AI than with existing security systems that will have to deal with both higher quality and quantity because of AI.",Due to the high success rate of these types of attacks,"This one can be combined with:
PrivacyViolation
SensitiveInformationDisclosure
SupplyChainVulnerabilities
SystemPromptLeakage
UnauthorizedAccessandEntitlementViolations
VoiceModelMisuse - (Due to leaked recording data from a breach)

This is similar to the breach data at #1. But instead of conducting Threat Actor operations, it would be social engineering. With breached data I now have employee information of different departments. I have the necessary customer information to give as responses to any past employee that they may interact with at the target/victim company.  The Threat Actor would also have any past conversations they may have had from saved transcripts to spin a story. All of this can be read off by simple prompts while live, or prepped ahead of time.",,,,
14,IndirectContextInjection,10,"Many agents trust all indirect inputs, this attack can bypass guardrails on input prompt making a more dangerous threat",This attack vector seems to be where many of the traditional malicious approaches could potentially be leveraged.  Many have Blind trust on the completions already.,Not covered previous and very important - but maybe could be rolled into the prompt injections vuln?,Should be merged with v2 Candidate #20 Multimodal Injections ,,,,,,
21,Overreliancerewrite,8,Could be bundled with dangerous hallucinations as it is synergetic to it,More and more organisations deploy LLMs and increase their reliance on these systems and their accuracy - hence a very important threat,"I think Overreliance is indeed an issue, but not inherent to the LLM itself. Rather, it stems from how it is used. It's a form of Insecure Output Handling, particularly when the downstream system is a human user instead of a cybernetic one. Additionally, 'Developing Insecure Source Code' can be considered a manifestation of Overreliance, as it reflects users' uncritical acceptance of LLM outputs without proper validation.","Artificial Neural Networks by design need a certain amount of error in their responses otherwise the models can not learn. In ANN terminology we would call that an over-fit model. Therefore, all good models will be wrong at times. 

On the other side of the coin is a model that doesn't fit the data well at all. This could happen for several reasons. 
1) the datasets aren't good enough. 
2) The wrong models are being used. 
3) The models are being misused or poorly designed. 
4) the datasets no longer represent the system they were taken from. (i.e. lets say we had datasets of clothing styles, but the dataset used to train the model was from the 80s.)

I'm not sure this is a security issue for OWASP, but it's going to be a major problem. Even now LLMs will/can give drastically different answers in response to the same question ask to different models.",,,,,,
18,ModelInversion,8,This could be combined with Model Theft potentially. ,I think this one might be combined with a few other concepts in the proposed vulns around data disclosure due to prompt-response predictability  ,At least half of the top 10 should be dedicated to protecting the actual behaviour of models - those things that are uniquely AI security and require non-traditional controls.,"Focuses on the threat of reconstructing training data from models, posing significant privacy risks. This is crucial for privacy considerations and could be categorized under ""Sensitive Information Disclosure.""","People use all kinds of data to train their models, including data that doesn't fit their values, or may be copyrights, or data that they don't know about. This poses risks to reputation, legal risks, threatens third party privacy, compromises model reliability, and so on. The risk is pervasive and has multiple potential impacts.",,,,,
29,UnauthorizedAccessandEntitlementViolations,8,with Rag and other tool chain this is definitely top threat ,"Privilege escalation and access control bypass feel like a co-number 1 in terms of top risks! Ideally LLMs should be out of band from Access Control decisions, but in practice that's super hard.",Non-AI systems are difficult to manage access to - AI LLM systems are less mature and the environments more complex. ,very common / required for all / tend to be underestimated importance vs usability,,,,,,
22,PrivacyViolation,7,"should be a new, top-level entry or folded into another larger vulnerability as a concept.","There is a lot of regulations on privacy, it is key produced outputs are compliant with them.",,,,,,,,
4,AlignmentValueMismatch,6,Alignment Value Mismatch is another corner stone with broader future ramifications. Alignment is the key to Gen AI - at any level or at all levels. So need to be at the top level,"This could be a top-level entry, or it could be rolled into Overreliance. This is important to an organization as a whole, so it's important to address to prevent brand/reputation risk. ","Alignment value mismatch is critical due to its potential ethical implications, operational efficiency concerns, and impacts on trust and acceptance of AI systems. When AI systems diverge from human values or goals, they can make decisions that contradict ethical norms, leading to harm or societal distrust. Ensuring alignment between AI behaviors and human intentions is essential not only for ethical reasons but also for maximizing the effectiveness and acceptance of AI applications. This issue could be considered a top-level entry because it involves fundamental challenges related to ethics, human-AI interaction, and societal impacts. Strategies to address alignment value mismatch include clear specification of human values in AI design, incorporating human oversight in decision-making processes, and continuous evaluation to maintain alignment over time. Whether tackled independently or as part of a broader vulnerability framework, addressing alignment value mismatch is crucial for promoting the ethical deployment and societal acceptance of AI technologies.",,,,,,,
13,ImproperErrorHandling,5,Usually lack of proper error handling is a lack of knowledge about behavior.  We should know the behavior of these models quite well.,"It's obvious to say things should be ""designed securely"" but improper error handing is easily overlooked and could expose an organization ",Know your errors and how to handle them,,,,,,,
28,UIAccessControlManipulation,3,Personal data exfiltration from LLM interaction is still a shocking concept to many people - even security professionals expect some privacy here. So we should be careful to make sure UIs are tight and don't leak.,,,,,,,,,
20,MultimodelManipulation,2,"should be a new, top-level entry or folded into another larger vulnerability as a concept.","Far more dangerous that PI, it will not go through “human eye”",,,,,,,,
32,VoiceModelMisuse,2,"should be a new, top-level entry or folded into another larger vulnerability as a concept.",,,,,,,,,
17,MaliciousLLMTuner,2,This deserves own vulnerability. A scan of the LLM for manipulation signs should be available.,,,,,,,,,
30,UnrestrictedResourceConsumption,1,"Unrestricted resource consumption has both virtual and physical world consequences, with poorly maintained and badly misunderstood systems using and abusing energy far beyond our current grid's capacity, worsening living conditions and doing irreparable damage to the environment.",,,,,,,,,
